"Player","Team","Position","Experience","Salary","Rank","Age","GP","GS","MIN","FGM","FGA","Points3","Points3_atts","Points2","Points2_atts","FTM","FTA","OREB","DREB","AST","STL","BLK","TO"
"Brandon Ingram","LAL","SF","R",5281680,2,19,79,40,2279,276,686,55,187,221,499,133,214,60,257,166,50,36,116
"David Nwaba","LAL","SG","R",73528,13,24,20,2,397,47,81,1,5,46,76,25,39,16,46,14,13,7,11
"Ivica Zubac","LAL","C","R",1034956,11,19,38,11,609,126,238,0,3,126,235,32,49,41,118,30,14,33,30
"Corey Brewer","LAL","SF","9",7600000,15,30,24,3,358,53,121,5,24,48,97,18,24,11,41,36,24,8,19
"Nick Young","LAL","SG","9",5443918,5,31,60,60,1556,272,633,170,421,102,212,77,90,25,112,58,37,14,36
"Timofey Mozgov","LAL","C","6",1.6e+07,9,30,54,52,1104,169,328,0,1,169,327,63,78,104,160,43,16,31,72
"Thomas Robinson","LAL","PF","4",1050961,12,25,48,1,560,105,196,0,1,105,195,31,66,84,139,31,26,9,46
"Jordan Clarkson","LAL","SG","2",12500000,1,24,82,19,2397,477,1071,117,356,360,715,134,168,49,197,213,88,8,164
"Julius Randle","LAL","PF","2",3267120,3,22,74,73,2132,377,773,17,63,360,710,204,282,151,485,264,49,37,173
"Tarik Black","LAL","C","2",6191000,10,25,67,16,1091,150,294,1,2,149,292,82,109,143,199,39,30,44,58
"Tyler Ennis","LAL","PG","2",1733880,14,22,22,2,392,65,144,21,54,44,90,19,22,6,21,52,20,2,21
"Metta World Peace","LAL","SF","16",1551659,18,37,25,2,160,19,68,9,38,10,30,10,16,5,15,11,9,2,7
"Luol Deng","LAL","SF","12",1.8e+07,6,31,56,49,1486,164,424,51,165,113,259,46,63,63,232,74,48,20,43
"D'Angelo Russell","LAL","PG","1",5332800,4,20,63,60,1811,351,867,135,384,216,483,147,188,31,191,303,87,16,176
"Larry Nance Jr.","LAL","PF","1",1207680,7,24,63,7,1442,190,361,10,36,180,325,59,80,120,249,96,82,40,56
